Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Punjab, 31-10-2018, M, 11.68, 9227814.00, 43.23
Punjab, 30-11-2018, M, 8.56, 9817265.00, 44.34
Punjab, 31-12-2018, M, 5.83, 9710595.00, 42.52
Punjab, 31-01-2019, M, 10.47, 9604005.00, 44.15
Punjab, 28-02-2019, M, 12.39, 9205076.00, 43.18
Punjab, 31-03-2019, M, 9.80, 9731044.00, 44.25
Punjab, 30-04-2019, M, 7.51, 9641918.00, 42.69
Punjab, 31-05-2019, M, 10.73, 9378466.00, 42.94
Punjab, 30-06-2019, M, 12.55, 9333034.00, 43.55
Punjab, 31-07-2019, M, 10.36, 9900571.00, 44.99
Punjab, 31-08-2019, M, 8.68, 9683288.00, 43.12
Punjab, 30-09-2019, M, 11.29, 9481369.00, 43.39
Punjab, 31-10-2019, M, 12.97, 9092358.00, 42.33
Punjab, 30-11-2019, M, 8.29, 9997265.00, 44.10
Punjab, 31-12-2019, M, 8.36, 9739995.00, 42.92
Punjab, 31-01-2020, M, 11.11, 9442093.00, 42.82
Punjab, 29-02-2020, M, 10.97, 9229047.00, 41.72
Punjab, 31-03-2020, M, 10.32, 9975485.00, 44.69
Punjab, 30-04-2020, M, 2.86, 7020565.00, 28.99
Punjab, 31-05-2020, M, 28.33, 6872938.00, 38.39
Punjab, 30-06-2020, M, 16.55, 8390766.00, 40.18
Punjab, 31-07-2020, M, 9.19, 9732417.00, 42.76
Punjab, 31-08-2020, M, 10.99, 9386169.00, 41.99
Punjab, 30-09-2020, M, 9.61, 8979999.00, 39.50
Punjab, 31-10-2020, M, 9.83, 8811756.00, 38.78
Punjab, 30-11-2020, M, 7.64, 9550215.00, 40.96
Punjab, 31-12-2020, M, 4.37, 9369173.00, 38.75
Punjab, 31-01-2021, M, 8.09, 9097268.00, 39.07
Punjab, 28-02-2021, M, 7.21, 9037550.00, 38.39
Punjab, 31-03-2021, M, 7.35, 9590215.00, 40.73
Punjab, 30-04-2021, M, 5.33, 9367881.00, 38.87
Punjab, 31-05-2021, M, 8.84, 8900420.00, 38.28
Punjab, 30-06-2021, M, 8.27, 9008366.00, 38.44
Punjab, 31-07-2021, M, 6.93, 9706975.00, 40.75
Punjab, 31-08-2021, M, 6.05, 9462403.00, 39.28
Punjab, 30-09-2021, M, 9.28, 8935927.00, 38.35
Punjab, 31-10-2021, M, 11.41, 8722548.00, 38.27
Punjab, 30-11-2021, M, 6.70, 9835327.00, 40.90
Punjab, 31-12-2021, M, 6.78, 9577559.00, 39.80
Punjab, 31-01-2022, M, 9.31, 8953493.00, 38.17
Punjab, 28-02-2022, M, 8.99, 9030318.00, 38.30
Punjab, 31-03-2022, M, 6.94, 9842359.00, 40.76
Punjab, 30-04-2022, M, 7.25, 9632697.00, 39.95
Punjab, 31-05-2022, M, 9.15, 9172799.00, 38.77
Punjab, 30-06-2022, M, 8.51, 9204594.00, 38.57
Punjab, 31-07-2022, M, 7.72, 10067229.00, 41.75
Punjab, 31-08-2022, M, 7.44, 9653813.00, 39.84
Punjab, 30-09-2022, M, 6.95, 9342363.00, 38.29
Punjab, 31-10-2022, M, 9.12, 9304247.00, 38.97
Punjab, 30-11-2022, M, 7.80, 9952497.00, 41.02
Rajasthan, 31-01-2016, M, 6.72, 19348695.00, 40.49
Rajasthan, 29-02-2016, M, 3.82, 19918070.00, 40.34
Rajasthan, 31-03-2016, M, 7.56, 18609185.00, 39.12
Rajasthan, 30-04-2016, M, 11.45, 18644477.00, 40.82
Rajasthan, 31-05-2016, M, 8.82, 18690639.00, 39.65
Rajasthan, 30-06-2016, M, 7.16, 19780871.00, 41.12
Rajasthan, 31-07-2016, M, 6.36, 17627470.00, 36.24
Rajasthan, 31-08-2016, M, 5.55, 19503415.00, 39.66
Rajasthan, 30-09-2016, M, 4.17, 20235485.00, 40.47
Rajasthan, 31-10-2016, M, 3.91, 20135234.00, 40.06
Rajasthan, 30-11-2016, M, 4.97, 17825134.00, 35.78
Rajasthan, 31-12-2016, M, 7.77, 18760518.00, 38.71
Rajasthan, 31-01-2017, M, 5.18, 19134010.00, 38.31
Rajasthan, 28-02-2017, M, 3.73, 20408833.00, 40.17
Rajasthan, 31-03-2017, M, 2.79, 20914052.00, 40.67
Rajasthan, 30-04-2017, M, 4.95, 20169763.00, 40.02
Rajasthan, 31-05-2017, M, 2.73, 19176736.00, 37.09
Rajasthan, 30-06-2017, M, 4.40, 20645461.00, 40.54
Rajasthan, 31-07-2017, M, 1.72, 19236798.00, 36.66
Rajasthan, 31-08-2017, M, 6.50, 19241686.00, 38.45
Rajasthan, 30-09-2017, M, 1.59, 20493578.00, 38.82
Rajasthan, 31-10-2017, M, 3.56, 19386262.00, 37.38
Rajasthan, 30-11-2017, M, 7.78, 20520622.00, 41.29
Rajasthan, 31-12-2017, M, 4.70, 19617961.00, 38.11
Rajasthan, 31-01-2018, M, 6.41, 19639483.00, 38.76
Rajasthan, 28-02-2018, M, 6.65, 19078450.00, 37.67
Rajasthan, 31-03-2018, M, 13.20, 19637012.00, 41.60
Rajasthan, 30-04-2018, M, 7.40, 19053973.00, 37.75
Rajasthan, 31-05-2018, M, 5.36, 20019460.00, 38.71
Rajasthan, 30-06-2018, M, 10.08, 19367639.00, 39.33
Rajasthan, 31-07-2018, M, 9.49, 19558725.00, 39.36
Rajasthan, 31-08-2018, M, 9.75, 19277283.00, 38.82
Rajasthan, 30-09-2018, M, 7.58, 19564512.00, 38.39
Rajasthan, 31-10-2018, M, 13.63, 19543972.00, 40.94
Rajasthan, 30-11-2018, M, 12.51, 19776255.00, 40.80
Rajasthan, 31-12-2018, M, 14.87, 19491220.00, 41.23
Rajasthan, 31-01-2019, M, 7.67, 19802750.00, 38.53
Rajasthan, 28-02-2019, M, 10.58, 20445986.00, 40.99
Rajasthan, 31-03-2019, M, 9.71, 19964844.00, 39.54
Rajasthan, 30-04-2019, M, 12.58, 20053759.00, 40.93
Rajasthan, 31-05-2019, M, 6.63, 20334436.00, 38.77
Rajasthan, 30-06-2019, M, 13.88, 19851738.00, 40.94
Rajasthan, 31-07-2019, M, 10.23, 20232340.00, 39.94
Rajasthan, 31-08-2019, M, 13.08, 20247209.00, 41.18
Rajasthan, 30-09-2019, M, 7.52, 20467523.00, 39.03
Rajasthan, 31-10-2019, M, 14.24, 20562884.00, 42.19
Rajasthan, 30-11-2019, M, 11.49, 20585267.00, 40.83
Rajasthan, 31-12-2019, M, 15.01, 20594797.00, 42.44
Rajasthan, 31-01-2020, M, 10.97, 20641716.00, 40.51
Rajasthan, 29-02-2020, M, 15.16, 20328915.00, 41.77
Rajasthan, 31-03-2020, M, 11.90, 20024680.00, 39.54
Rajasthan, 30-04-2020, M, 17.70, 15984142.00, 33.71
Rajasthan, 31-05-2020, M, 15.74, 19826602.00, 40.74
Rajasthan, 30-06-2020, M, 14.39, 20506612.00, 41.38
Rajasthan, 31-07-2020, M, 15.81, 19932393.00, 40.80
Rajasthan, 31-08-2020, M, 17.51, 20014060.00, 41.71
Rajasthan, 30-09-2020, M, 15.35, 20149594.00, 40.83
Rajasthan, 31-10-2020, M, 24.10, 19913403.00, 44.90
Rajasthan, 30-11-2020, M, 18.52, 20268396.00, 42.47
Rajasthan, 31-12-2020, M, 28.23, 19786545.00, 46.96
Rajasthan, 31-01-2021, M, 17.69, 21125626.00, 43.62
Rajasthan, 28-02-2021, M, 25.63, 20096427.00, 45.83
Rajasthan, 31-03-2021, M, 19.74, 20392741.00, 42.99
Rajasthan, 30-04-2021, M, 28.04, 19857143.00, 46.58
Rajasthan, 31-05-2021, M, 27.64, 18671874.00, 43.45
Rajasthan, 30-06-2021, M, 26.27, 20321049.00, 46.31
Rajasthan, 31-07-2021, M, 21.06, 20661802.00, 43.88
Rajasthan, 31-08-2021, M, 26.69, 20521536.00, 46.81
Rajasthan, 30-09-2021, M, 17.87, 21092269.00, 42.85
Rajasthan, 31-10-2021, M, 29.52, 20463351.00, 48.32
Rajasthan, 30-11-2021, M, 20.23, 20322679.00, 42.31
Rajasthan, 31-12-2021, M, 27.12, 20152764.00, 45.81
Rajasthan, 31-01-2022, M, 18.95, 20683321.00, 42.18
Rajasthan, 28-02-2022, M, 32.39, 19511908.00, 47.60
Rajasthan, 31-03-2022, M, 24.48, 19672111.00, 42.86
Rajasthan, 30-04-2022, M, 28.80, 20196775.00, 46.57
Rajasthan, 31-05-2022, M, 22.20, 20783118.00, 43.76
Rajasthan, 30-06-2022, M, 29.94, 19802373.00, 46.19
Rajasthan, 31-07-2022, M, 19.59, 20044206.00, 40.64
Rajasthan, 31-08-2022, M, 31.44, 19531626.00, 46.34
Rajasthan, 30-09-2022, M, 23.83, 20344916.00, 43.34
Rajasthan, 31-10-2022, M, 30.72, 19585318.00, 45.77
Rajasthan, 30-11-2022, M, 24.47, 19911377.00, 42.58
Sikkim, 30-09-2018, M, 11.25, 280884.00, 58.62
Sikkim, 31-10-2018, M, 12.14, 207652.00, 43.66
Sikkim, 30-11-2018, M, 4.69, 258027.00, 49.87
Sikkim, 31-01-2019, M, 13.24, 274484.00, 57.97
Sikkim, 28-02-2019, M, 8.30, 227220.00, 45.28
Sikkim, 31-03-2019, M, 6.80, 265777.00, 51.97
Sikkim, 30-04-2019, M, 4.79, 219201.00, 41.85
Sikkim, 31-05-2019, M, 13.31, 271818.00, 56.83
Sikkim, 30-06-2019, M, 8.99, 229429.00, 45.56
Sikkim, 31-07-2019, M, 6.81, 265454.00, 51.34
Sikkim, 31-08-2019, M, 2.06, 218190.00, 40.04
Sikkim, 30-09-2019, M, 6.41, 280086.00, 53.64
Sikkim, 31-10-2019, M, 7.10, 234662.00, 45.14
Sikkim, 30-11-2019, M, 9.71, 270177.00, 53.33
Sikkim, 31-12-2019, M, 3.34, 249682.00, 45.90
Sikkim, 31-03-2020, M, 23.57, 262895.00, 60.59
Sikkim, 30-04-2020, M, 2.28, 215303.00, 38.70
Sikkim, 31-05-2020, M, 24.51, 193427.00, 44.88
Sikkim, 30-06-2020, M, 4.46, 221058.00, 40.40
Sikkim, 31-07-2020, M, 4.45, 265175.00, 48.32
Sikkim, 31-08-2020, M, 12.49, 244462.00, 48.49
Sikkim, 30-09-2020, M, 5.70, 231798.00, 42.54
Sikkim, 31-10-2020, M, 0.88, 242068.00, 42.13
Sikkim, 30-11-2020, M, 1.85, 265087.00, 46.46
Sikkim, 31-12-2020, M, 0.67, 291263.00, 50.29
Sikkim, 31-01-2021, M, 0.00, 271163.00, 46.35
Sikkim, 28-02-2021, M, 4.29, 269144.00, 47.94
Sikkim, 31-03-2021, M, 1.74, 268111.00, 46.37
Sikkim, 30-04-2021, M, 1.80, 260191.00, 44.89
Sikkim, 31-05-2021, M, 4.19, 271870.00, 47.92
Sikkim, 30-06-2021, M, 0.00, 264393.00, 44.51
Sikkim, 31-07-2021, M, 0.00, 291920.00, 48.99
Sikkim, 31-08-2021, M, 0.00, 275861.00, 46.14
Sikkim, 31-10-2021, M, 9.98, 253543.00, 46.81
Sikkim, 30-04-2022, M, 8.67, 249365.00, 44.50
Sikkim, 31-05-2022, M, 7.52, 267699.00, 47.02
Sikkim, 30-06-2022, M, 12.69, 191149.00, 35.45
Sikkim, 31-07-2022, M, 6.47, 214996.00, 37.09
Tamil Nadu, 31-01-2016, M, 7.59, 30805567.00, 55.23
Tamil Nadu, 29-02-2016, M, 4.41, 31278490.00, 54.13
Tamil Nadu, 31-03-2016, M, 11.60, 30359801.00, 56.73
Tamil Nadu, 30-04-2016, M, 9.77, 30660799.00, 56.04
Tamil Nadu, 31-05-2016, M, 9.11, 30645647.00, 55.52
Tamil Nadu, 30-06-2016, M, 6.79, 30171453.00, 53.22
Tamil Nadu, 31-07-2016, M, 8.53, 30969081.00, 55.57
Tamil Nadu, 31-08-2016, M, 10.93, 31978443.00, 58.84
Tamil Nadu, 30-09-2016, M, 18.40, 30483125.00, 61.13
Tamil Nadu, 31-10-2016, M, 10.65, 30783285.00, 56.28
Tamil Nadu, 30-11-2016, M, 6.00, 30488813.00, 52.91
Tamil Nadu, 31-12-2016, M, 7.09, 31379847.00, 55.00
Tamil Nadu, 31-01-2017, M, 12.55, 30962576.00, 57.57
Tamil Nadu, 28-02-2017, M, 7.63, 30800814.00, 54.14
Tamil Nadu, 31-03-2017, M, 4.18, 30820227.00, 52.14
Tamil Nadu, 30-04-2017, M, 5.69, 30815482.00, 52.88
Tamil Nadu, 31-05-2017, M, 3.67, 30431940.00, 51.05
Tamil Nadu, 30-06-2017, M, 2.68, 30258932.00, 50.16
Tamil Nadu, 31-07-2017, M, 3.18, 30263412.00, 50.35
Tamil Nadu, 31-08-2017, M, 2.81, 29487963.00, 48.80
Tamil Nadu, 30-09-2017, M, 3.08, 30523117.00, 50.57
Tamil Nadu, 31-10-2017, M, 3.85, 30030092.00, 50.07
Tamil Nadu, 30-11-2017, M, 3.00, 30688529.00, 50.64
Tamil Nadu, 31-12-2017, M, 2.94, 30532083.00, 50.27
Tamil Nadu, 31-01-2018, M, 2.40, 30443984.00, 49.77
Tamil Nadu, 28-02-2018, M, 2.55, 29243004.00, 47.81
Tamil Nadu, 31-03-2018, M, 3.03, 29810179.00, 48.90
Tamil Nadu, 30-04-2018, M, 1.87, 30027606.00, 48.60
Tamil Nadu, 31-05-2018, M, 2.08, 30141678.00, 48.81
Tamil Nadu, 30-06-2018, M, 1.51, 29200317.00, 46.94
Tamil Nadu, 31-07-2018, M, 2.56, 29806640.00, 48.35
Tamil Nadu, 31-08-2018, M, 1.60, 29456524.00, 47.24
Tamil Nadu, 30-09-2018, M, 1.80, 28568698.00, 45.84
Tamil Nadu, 31-10-2018, M, 1.10, 28284400.00, 44.99
Tamil Nadu, 30-11-2018, M, 3.02, 29311576.00, 47.48
Tamil Nadu, 31-12-2018, M, 2.07, 28063954.00, 44.94
Tamil Nadu, 31-01-2019, M, 2.25, 27520190.00, 44.08
Tamil Nadu, 28-02-2019, M, 1.91, 27638278.00, 44.05
Tamil Nadu, 31-03-2019, M, 1.72, 28235810.00, 44.84
Tamil Nadu, 30-04-2019, M, 1.23, 27490694.00, 43.38
Tamil Nadu, 31-05-2019, M, 0.94, 27642770.00, 43.42
Tamil Nadu, 30-06-2019, M, 1.19, 28694054.00, 45.12
Tamil Nadu, 31-07-2019, M, 4.83, 28510351.00, 46.47
Tamil Nadu, 31-08-2019, M, 5.80, 28397017.00, 46.69
Tamil Nadu, 30-09-2019, M, 1.80, 26967205.00, 42.46
Tamil Nadu, 31-10-2019, M, 1.31, 27819597.00, 43.52
Tamil Nadu, 30-11-2019, M, 2.54, 27953384.00, 44.21
Tamil Nadu, 31-12-2019, M, 5.70, 27617321.00, 45.07
Tamil Nadu, 31-01-2020, M, 1.57, 26881641.00, 41.96
Tamil Nadu, 29-02-2020, M, 2.09, 27570589.00, 43.20
Tamil Nadu, 31-03-2020, M, 6.40, 26830768.00, 43.91
Tamil Nadu, 30-04-2020, M, 49.83, 9719167.00, 29.63
Tamil Nadu, 31-05-2020, M, 33.16, 11483256.00, 26.23
Tamil Nadu, 30-06-2020, M, 12.20, 19096847.00, 33.16
Tamil Nadu, 31-07-2020, M, 6.81, 24572827.00, 40.13
Tamil Nadu, 31-08-2020, M, 2.65, 27046415.00, 42.22
Tamil Nadu, 30-09-2020, M, 5.00, 23025845.00, 36.77
Tamil Nadu, 31-10-2020, M, 2.16, 23651626.00, 36.62
Tamil Nadu, 30-11-2020, M, 1.15, 24629525.00, 37.68
Tamil Nadu, 31-12-2020, M, 0.53, 25020860.00, 37.98
Tamil Nadu, 31-01-2021, M, 3.99, 22930424.00, 36.00
Tamil Nadu, 28-02-2021, M, 4.79, 23539357.00, 37.22
Tamil Nadu, 31-03-2021, M, 3.02, 24688097.00, 38.26
Tamil Nadu, 30-04-2021, M, 2.34, 24591402.00, 37.78
Tamil Nadu, 31-05-2021, M, 27.97, 14183803.00, 29.50
Tamil Nadu, 30-06-2021, M, 8.30, 19876121.00, 32.42
Tamil Nadu, 31-07-2021, M, 4.78, 24651814.00, 38.66
Tamil Nadu, 31-08-2021, M, 6.27, 23991586.00, 38.16
Tamil Nadu, 30-09-2021, M, 7.00, 22076645.00, 35.34
Tamil Nadu, 31-10-2021, M, 4.89, 22604681.00, 35.32
Tamil Nadu, 30-11-2021, M, 5.13, 24405134.00, 38.17
Tamil Nadu, 31-12-2021, M, 6.91, 23072393.00, 36.72
Tamil Nadu, 31-01-2022, M, 5.30, 22542644.00, 35.21
Tamil Nadu, 28-02-2022, M, 3.23, 22265049.00, 33.98
Tamil Nadu, 31-03-2022, M, 4.13, 23845915.00, 36.67
Tamil Nadu, 30-04-2022, M, 3.17, 22836874.00, 34.72
Tamil Nadu, 31-05-2022, M, 3.09, 21764549.00, 33.01
Tamil Nadu, 30-06-2022, M, 2.11, 21898382.00, 32.83
Tamil Nadu, 31-07-2022, M, 2.97, 24187335.00, 36.52
Tamil Nadu, 31-08-2022, M, 7.19, 21318737.00, 33.60
Tamil Nadu, 30-09-2022, M, 4.12, 23745704.00, 36.17
Tamil Nadu, 31-10-2022, M, 3.28, 23320332.00, 35.16
Tamil Nadu, 30-11-2022, M, 3.78, 25001238.00, 37.83
Telangana, 31-01-2016, M, 7.36, 17815321.00, 66.91
Telangana, 29-02-2016, M, 4.67, 16508460.00, 60.14
Telangana, 31-03-2016, M, 4.76, 15830168.00, 57.62
Telangana, 30-04-2016, M, 6.49, 17066847.00, 63.15
Telangana, 31-05-2016, M, 6.30, 16361651.00, 60.31
Telangana, 30-06-2016, M, 8.53, 13940938.00, 52.54
Telangana, 31-07-2016, M, 4.64, 14246163.00, 51.40
Telangana, 31-08-2016, M, 4.10, 17057209.00, 61.08
Telangana, 30-09-2016, M, 3.69, 15686245.00, 55.83
Telangana, 31-10-2016, M, 7.48, 15577069.00, 57.61
Telangana, 30-11-2016, M, 4.83, 16339639.00, 58.63
Telangana, 31-12-2016, M, 4.60, 17562401.00, 62.75
Telangana, 31-01-2017, M, 5.23, 14693047.00, 52.75
Telangana, 28-02-2017, M, 14.47, 14393489.00, 57.15
Telangana, 31-03-2017, M, 5.38, 17750002.00, 63.59
Telangana, 30-04-2017, M, 2.59, 16709603.00, 58.04
Telangana, 31-05-2017, M, 3.38, 14706639.00, 51.40
Telangana, 30-06-2017, M, 12.94, 14332462.00, 55.50
Telangana, 31-07-2017, M, 4.71, 15170845.00, 53.56
Telangana, 31-08-2017, M, 1.98, 16297243.00, 55.83
Telangana, 30-09-2017, M, 2.42, 14134302.00, 48.55
Telangana, 31-10-2017, M, 4.05, 14173236.00, 49.42
Telangana, 30-11-2017, M, 2.83, 17340383.00, 59.59
Telangana, 31-12-2017, M, 2.74, 17360562.00, 59.49
Telangana, 31-01-2018, M, 4.00, 14531233.00, 50.35
Telangana, 28-02-2018, M, 3.43, 15226578.00, 52.36
Telangana, 31-03-2018, M, 3.62, 15861778.00, 54.55
Telangana, 30-04-2018, M, 1.97, 14615094.00, 49.33
Telangana, 31-05-2018, M, 0.97, 14067425.00, 46.91
Telangana, 30-06-2018, M, 1.19, 15242436.00, 50.85
Telangana, 31-07-2018, M, 0.75, 16613504.00, 55.07
Telangana, 31-08-2018, M, 0.49, 15788971.00, 52.10
Telangana, 30-09-2018, M, 0.44, 16593024.00, 54.63
Telangana, 31-10-2018, M, 0.94, 14672276.00, 48.45
Telangana, 30-11-2018, M, 0.52, 16996261.00, 55.79
Telangana, 31-12-2018, M, 0.94, 15232136.00, 50.11
Telangana, 31-01-2019, M, 2.61, 16647293.00, 55.60
Telangana, 28-02-2019, M, 2.38, 15556530.00, 51.74
Telangana, 31-03-2019, M, 2.48, 16619084.00, 55.23
Telangana, 30-04-2019, M, 2.66, 15128939.00, 50.28
Telangana, 31-05-2019, M, 1.99, 16614003.00, 54.73
Telangana, 30-06-2019, M, 4.41, 16412169.00, 55.34
Telangana, 31-07-2019, M, 2.86, 16971193.00, 56.20
Telangana, 31-08-2019, M, 2.37, 16288655.00, 53.56
Telangana, 30-09-2019, M, 4.82, 17084091.00, 57.52
Telangana, 31-10-2019, M, 7.11, 16693687.00, 57.48
Telangana, 30-11-2019, M, 6.07, 16603948.00, 56.44
Telangana, 31-12-2019, M, 2.30, 16385834.00, 53.44
Telangana, 31-01-2020, M, 5.49, 17609295.00, 59.25
Telangana, 29-02-2020, M, 8.29, 16825970.00, 58.24
Telangana, 31-03-2020, M, 5.77, 17341613.00, 58.31
Telangana, 30-04-2020, M, 6.25, 12172230.00, 41.06
Telangana, 31-05-2020, M, 14.70, 14977774.00, 55.43
Telangana, 30-06-2020, M, 10.55, 15108910.00, 53.22
Telangana, 31-07-2020, M, 5.36, 15679417.00, 52.10
Telangana, 31-08-2020, M, 5.79, 18185429.00, 60.59
Telangana, 30-09-2020, M, 3.27, 16958984.00, 54.93
Telangana, 31-10-2020, M, 2.93, 17417825.00, 56.11
Telangana, 30-11-2020, M, 1.56, 17190976.00, 54.51
Telangana, 31-12-2020, M, 7.05, 13239092.00, 44.37
Telangana, 31-01-2021, M, 4.26, 16304175.00, 52.95
Telangana, 28-02-2021, M, 5.58, 16040348.00, 52.73
Telangana, 31-03-2021, M, 3.67, 16373619.00, 52.65
Telangana, 30-04-2021, M, 5.05, 14105009.00, 45.94
Telangana, 31-05-2021, M, 7.20, 16891260.00, 56.18
Telangana, 30-06-2021, M, 4.78, 15077504.00, 48.78
Telangana, 31-07-2021, M, 4.01, 16094158.00, 51.55
Telangana, 31-08-2021, M, 4.66, 16234011.00, 52.25
Telangana, 30-09-2021, M, 3.63, 16852051.00, 53.56
Telangana, 31-10-2021, M, 4.13, 16904140.00, 53.90
Telangana, 30-11-2021, M, 4.14, 16193012.00, 51.54
Telangana, 31-12-2021, M, 2.16, 17128340.00, 53.32
Telangana, 31-01-2022, M, 0.69, 16099871.00, 49.28
Telangana, 28-02-2022, M, 12.95, 14999753.00, 52.28
Telangana, 31-03-2022, M, 6.55, 16077052.00, 52.10
Telangana, 30-04-2022, M, 9.91, 16573703.00, 55.61
Telangana, 31-05-2022, M, 9.37, 16844961.00, 56.08
Telangana, 30-06-2022, M, 9.99, 13673720.00, 45.75
Telangana, 31-07-2022, M, 5.83, 13300384.00, 42.45
Telangana, 31-08-2022, M, 6.91, 14339051.00, 46.21
Telangana, 30-09-2022, M, 8.35, 14228204.00, 46.49
Telangana, 31-10-2022, M, 8.80, 13948479.00, 45.71
Telangana, 30-11-2022, M, 6.03, 13199882.00, 41.90
Tripura, 30-09-2017, M, 19.41, 1218132.00, 49.47
Tripura, 31-10-2017, M, 8.51, 1468082.00, 52.43
Tripura, 30-11-2017, M, 8.35, 1266700.00, 45.08
Tripura, 31-01-2018, M, 31.11, 1399231.00, 66.00
Tripura, 28-02-2018, M, 30.23, 1416297.00, 65.85
Tripura, 31-03-2018, M, 15.19, 1301630.00, 49.70
Tripura, 30-04-2018, M, 13.55, 1340371.00, 50.12
Tripura, 31-05-2018, M, 23.68, 1441375.00, 60.94
Tripura, 30-06-2018, M, 22.13, 1440654.00, 59.58
Tripura, 31-07-2018, M, 17.86, 1330820.00, 52.09
Tripura, 31-08-2018, M, 27.43, 1384626.00, 61.23
Tripura, 30-09-2018, M, 39.10, 1375891.00, 72.36
Tripura, 31-10-2018, M, 32.43, 1480505.00, 70.05
Tripura, 30-11-2018, M, 32.34, 1408467.00, 66.44
Tripura, 31-12-2018, M, 27.34, 1430316.00, 62.71
Tripura, 31-01-2019, M, 32.63, 1434823.00, 67.72
Tripura, 28-02-2019, M, 26.16, 1544426.00, 66.40
Tripura, 31-03-2019, M, 22.98, 1449641.00, 59.64
Tripura, 30-04-2019, M, 25.43, 1435520.00, 60.89
Tripura, 31-05-2019, M, 30.94, 1442676.00, 65.95
Tripura, 30-06-2019, M, 26.36, 1515751.00, 64.87
Tripura, 31-07-2019, M, 23.44, 1463180.00, 60.12
Tripura, 31-08-2019, M, 27.86, 1344478.00, 58.52
Tripura, 30-09-2019, M, 31.23, 1452452.00, 66.20
Tripura, 31-10-2019, M, 27.31, 1528572.00, 65.79
Tripura, 30-11-2019, M, 25.80, 1512333.00, 63.65
Tripura, 31-12-2019, M, 28.59, 1446305.00, 63.14
Tripura, 31-01-2020, M, 32.67, 1508130.00, 69.69
Tripura, 29-02-2020, M, 28.40, 1584686.00, 68.74
Tripura, 31-03-2020, M, 29.95, 1511217.00, 66.89
Tripura, 30-04-2020, M, 41.23, 971514.00, 51.16
Tripura, 31-05-2020, M, 21.51, 1290986.00, 50.81
Tripura, 30-06-2020, M, 21.71, 1494140.00, 58.85
Tripura, 31-07-2020, M, 18.24, 1348849.00, 50.78
Tripura, 31-08-2020, M, 27.92, 1318621.00, 56.21
Tripura, 30-09-2020, M, 17.35, 1368244.00, 50.77
Tripura, 31-10-2020, M, 11.57, 1576529.00, 54.58
Tripura, 30-11-2020, M, 13.06, 1454568.00, 51.13
Tripura, 31-12-2020, M, 18.21, 1389711.00, 51.82
Tripura, 31-01-2021, M, 18.15, 1395070.00, 51.89
Tripura, 28-02-2021, M, 11.05, 1629794.00, 55.69
Tripura, 31-03-2021, M, 13.94, 1493608.00, 52.65
Tripura, 30-04-2021, M, 17.28, 1436936.00, 52.61
Tripura, 31-05-2021, M, 19.93, 1350783.00, 50.99
Tripura, 30-06-2021, M, 9.62, 1651388.00, 55.13
Tripura, 31-07-2021, M, 13.34, 1577784.00, 54.83
Tripura, 31-08-2021, M, 15.60, 1497924.00, 53.35
Tripura, 30-09-2021, M, 15.28, 1435595.00, 50.85
Tripura, 31-10-2021, M, 9.95, 1682211.00, 55.95
Tripura, 30-11-2021, M, 13.41, 1549956.00, 53.52
Tripura, 31-12-2021, M, 14.73, 1516375.00, 53.07
Tripura, 31-01-2022, M, 17.14, 1405691.00, 50.53
Tripura, 28-02-2022, M, 9.77, 1577800.00, 52.00
Tripura, 31-03-2022, M, 14.08, 1549348.00, 53.53
Tripura, 30-04-2022, M, 14.60, 1529154.00, 53.05
Tripura, 31-05-2022, M, 17.35, 1369861.00, 49.02
Tripura, 30-06-2022, M, 9.45, 1617909.00, 52.75
Tripura, 31-07-2022, M, 13.01, 1559377.00, 52.82
Tripura, 31-08-2022, M, 16.26, 1506718.00, 52.92
Tripura, 30-09-2022, M, 17.02, 1409925.00, 49.88
Tripura, 31-10-2022, M, 10.48, 1685366.00, 55.17
Tripura, 30-11-2022, M, 14.53, 1563964.00, 53.53
Uttar Pradesh, 31-01-2016, M, 14.91, 55745996.00, 44.88
Uttar Pradesh, 29-02-2016, M, 15.45, 55421160.00, 44.80
Uttar Pradesh, 31-03-2016, M, 14.39, 56956539.00, 45.37
Uttar Pradesh, 30-04-2016, M, 15.38, 56075058.00, 45.10
Uttar Pradesh, 31-05-2016, M, 16.42, 57530487.00, 46.74
Uttar Pradesh, 30-06-2016, M, 17.98, 56695242.00, 46.83
Uttar Pradesh, 31-07-2016, M, 14.22, 56653902.00, 44.65
Uttar Pradesh, 31-08-2016, M, 17.08, 56479195.00, 45.94
Uttar Pradesh, 30-09-2016, M, 10.13, 60547730.00, 45.34
Uttar Pradesh, 31-10-2016, M, 8.87, 58878595.00, 43.39
Uttar Pradesh, 30-11-2016, M, 6.64, 55870756.00, 40.10
Uttar Pradesh, 31-12-2016, M, 7.59, 55423935.00, 40.10
Uttar Pradesh, 31-01-2017, M, 3.71, 57004034.00, 39.49
Uttar Pradesh, 28-02-2017, M, 3.02, 56657637.00, 38.89
Uttar Pradesh, 31-03-2017, M, 2.43, 55173498.00, 37.56
Uttar Pradesh, 30-04-2017, M, 5.04, 55104794.00, 38.46
Uttar Pradesh, 31-05-2017, M, 2.84, 55762962.00, 37.96
Uttar Pradesh, 30-06-2017, M, 2.74, 58190274.00, 39.48
